sector  pad  layer noise_in_MeV
2  56  3  0.044217371789049144
2  57  3  0.04248422402657329
2  58  3  0.039896374793403404
2  59  3  0.05412256246427352
2  60  3  0.040004015591114286
2  61  3  0.05311711545456605
2  63  3  0.04590111543831376
1  62  3  0.04982719622948132
1  60  3  0.05301590698349403
1  61  3  0.06037913205734862
1  58  3  0.04561353612087219
1  59  3  0.05508255872307249
1  56  3  0.04755432413287537
1  57  3  0.05026718046359792
1  54  3  0.04089873775790641
1  55  3  0.044079197798739686
1  52  3  0.04090130601787768
1  53  3  0.0460180109564951
1  50  3  0.0359986781280668
1  51  3  0.03648907811245118
1  48  3  0.034164798091207746
1  49  3  0.03675748976292341
1  46  3  0.03711078216808378
1  47  3  0.04701555446115781
1  44  3  0.030492613584415254
1  45  3  0.027046739778824814
1  42  3  0.03212333049053423
1  43  3  0.03916858266789065
1  40  3  0.03150679855918758
1  41  3  0.0347702499508854
1  38  3  0.02807354055927852
1  39  3  0.03190604192995218
1  36  3  0.025247210812487184
1  37  3  0.028510678819545252
1  34  3  0.032666797561958935
